m/z	Intensity
167.65981	4697.00000
167.66028	5569.00000
168.00754	5205.00000
168.00847	6323.00000
168.14861	3965.00000
168.36974	5596.00000
168.86476	27972.00000
168.91331	6795.00000
168.96611	9442.00000
169.30717	11826.00000
169.30765	9747.00000
169.31850	6350.00000
169.45824	5220.00000
169.45871	14437.00000
169.45918	15681.00000
169.72653	5532.00000
169.94350	8692.00000
170.03856	7003.00000
170.38495	8280.00000
170.38589	8926.00000
170.48013	7689.00000
170.48108	3327.00000
170.51471	4097.00000
170.76346	3763.00000
170.76393	7058.00000
170.76440	7744.00000
170.79616	4534.00000
170.79665	8476.00000
170.79712	14497.00000
171.03801	10459.00000
171.49275	3554.00000
171.49323	4472.00000
171.51840	4132.00000
172.29025	16587.00000
172.39549	10232.00000
172.39597	11059.00000
172.84726	6166.00000
172.89209	7914.00000
172.89256	7562.00000
172.90640	12647.00000
172.97795	4741.00000
173.35121	14826.00000
173.35263	15475.00000
173.35550	7499.00000
173.46297	5270.00000
173.63069	7080.00000
173.73347	11983.00000
173.92140	8297.00000
173.94389	9854.00000
174.17407	8739.00000
174.45039	9937.00000
174.48871	4905.00000
174.86887	10776.00000
174.86935	8817.00000
174.93604	15329.00000
175.04688	12182.00000
175.04735	11057.00000
175.06030	16384.00000
175.08142	13911.00000
175.54919	9077.00000
175.70157	19528.00000
175.70206	15516.00000
176.36906	6379.00000
176.37485	10535.00000
176.44229	4085.00000
176.85158	7630.00000
176.99922	9606.00000
177.06775	6365.00000
177.14401	8297.00000
177.22852	10354.00000
177.35408	10526.00000
177.45264	10070.00000
177.92453	9716.00000
178.02422	12383.00000
178.12538	7811.00000
178.12585	8825.00000
178.12634	12942.00000
178.41208	14787.00000
178.41257	11143.00000
178.44066	10874.00000
178.44502	19441.00000
178.77223	16712.00000
179.09441	20578.00000
179.09488	22462.00000
179.78337	11475.00000
180.00035	31191.00000
180.11862	4493.00000
180.22963	4280.00000
180.50583	7802.00000
180.50632	8827.00000
180.54872	8904.00000
180.54921	15226.00000
180.65840	3884.00000
180.76762	12036.00000
181.00423	13145.00000
181.29323	9661.00000
181.29372	9051.00000
181.37822	4384.00000
181.39384	3081.00000
181.66068	12569.00000
181.95363	10642.00000
182.24290	7009.00000
182.47557	12111.00000
182.69955	18834.00000
182.76918	9136.00000
182.76967	11838.00000
182.77016	9792.00000
182.77751	6602.00000
183.02229	23343.00000
183.03555	10451.00000
183.23337	10006.00000
183.92532	6012.00000
183.97748	15253.00000
183.97797	11304.00000
184.12018	20433.00000
184.12608	11424.00000
184.37029	5698.00000
184.37915	23701.00000
184.37964	19592.00000
184.54123	2082.00000
184.76894	9996.00000
184.86115	9872.00000
184.86165	12496.00000
184.86214	15418.00000
184.86263	12202.00000
185.40106	7930.00000
185.51468	11314.00000
185.51567	7354.00000
185.64314	15265.00000
185.64365	11578.00000
186.01251	5220.00000
186.03180	13827.00000
186.17134	4551.00000
186.41145	10547.00000
186.64923	6503.00000
186.75529	7643.00000
186.87131	37669.00000
187.08557	4617.00000
187.24535	10848.00000
188.08559	4109.00000
188.33490	7455.00000
188.35979	13604.00000
189.02046	7932.00000
189.05388	18855.00000
189.05437	13194.00000
189.16560	14470.00000
189.33676	10052.00000
189.66481	9273.00000
189.67830	4833.00000
189.67879	6848.00000
189.96315	8853.00000
189.96364	8608.00000
190.21568	3984.00000
190.64314	5775.00000
190.64365	5475.00000
190.90767	13226.00000
190.90817	16838.00000
191.22855	4372.00000
191.49699	7200.00000
191.83746	4684.00000
191.83797	7016.00000
192.24411	20472.00000
192.24461	20438.00000
192.36935	5576.00000
192.76295	7351.00000
192.82390	6735.00000
192.82440	7172.00000
192.93321	3968.00000
192.97000	13583.00000
193.33496	10318.00000
193.57056	12679.00000
193.66191	33138.00000
193.78004	13210.00000
193.78055	10855.00000
193.78157	9026.00000
193.81186	6849.00000
193.93813	5399.00000
193.93913	9340.00000
193.93964	14346.00000
193.94014	15666.00000
193.94064	14540.00000
193.94115	19695.00000
194.02905	12671.00000
194.20290	21355.00000
194.53412	6240.00000
194.60597	6226.00000
194.63785	10360.00000
194.69098	17229.00000
195.05353	11971.00000
195.05453	6339.00000
195.05505	10570.00000
195.07227	8026.00000
195.13763	3055.00000
195.13814	5480.00000
195.28156	8919.00000
195.28206	13470.00000
195.67610	8718.00000
195.72330	4624.00000
195.95628	9271.00000
196.07460	5485.00000
196.33371	7087.00000
196.33423	7197.00000
196.38556	9134.00000
196.55843	22521.00000
196.57826	5666.00000
196.57877	8600.00000
196.57927	16146.00000
197.16710	19608.00000
197.39890	4798.00000
197.40604	13595.00000
197.53040	4961.00000
198.50325	9648.00000
198.50375	9767.00000
199.10007	11200.00000
199.19272	8796.00000
199.19324	11369.00000
199.22191	11791.00000
199.35400	6692.00000
199.50204	11545.00000
199.50255	10935.00000
199.62656	6567.00000
200.22815	8966.00000
200.37856	7618.00000
200.91032	9455.00000
201.35942	6861.00000
201.35992	6956.00000
201.55247	9525.00000
201.60294	10471.00000
201.74768	18207.00000
201.74820	15686.00000
201.74872	10288.00000
201.74924	13691.00000
201.74974	17884.00000
202.50368	5903.00000
202.74582	10653.00000
202.86980	6591.00000
202.87032	3323.00000
202.91423	6309.00000
203.02895	4766.00000
203.03102	12445.00000
203.11113	12680.00000
203.11165	10156.00000
203.22385	4616.00000
203.26779	8082.00000
203.28745	14001.00000
203.28796	16054.00000
203.49022	20764.00000
203.51093	13152.00000
203.61598	7955.00000
203.71329	4041.00000
203.78059	16111.00000
203.79044	13188.00000
203.80286	14935.00000
203.80908	9730.00000
204.06030	5990.00000
204.25827	8477.00000
204.29922	12550.00000
204.55801	12937.00000
204.70953	4717.00000
205.16179	11321.00000
205.44348	13618.00000
205.44400	9954.00000
205.52563	7102.00000
205.71495	18208.00000
205.72173	10437.00000
205.78572	5714.00000
206.57320	12262.00000
206.89029	9995.00000
207.38988	20333.00000
207.39249	8744.00000
207.42174	21003.00000
207.42227	10574.00000
207.46877	10519.00000
207.94812	4788.00000
208.28091	5297.00000
208.59932	7189.00000
208.71562	12431.00000
209.89424	6504.00000
210.03510	10982.00000
210.03615	17528.00000
210.83330	8158.00000
211.19685	18576.00000
211.40143	17578.00000
211.40987	4146.00000
211.41092	6405.00000
211.77972	9023.00000
211.78026	18781.00000
211.78078	15028.00000
211.92966	8763.00000
211.96715	9741.00000
211.96768	10537.00000
211.96822	17581.00000
211.96873	25185.00000
211.96927	26868.00000
211.97350	18368.00000
212.73251	6142.00000
212.89389	4708.00000
213.37949	5534.00000
213.64395	8807.00000
213.64449	8899.00000
213.64502	11222.00000
214.16066	10601.00000
214.16118	12922.00000
214.16171	8444.00000
214.19304	6269.00000
214.41446	10408.00000
214.47023	10829.00000
214.47076	14012.00000
214.52972	11416.00000
214.55310	7149.00000
214.60942	9586.00000
214.63599	7734.00000
214.63705	27988.00000
214.64397	11215.00000
214.88477	9389.00000
215.73686	10266.00000
216.01613	10501.00000
216.04277	22511.00000
216.42841	7272.00000
216.64458	10646.00000
216.64511	17179.00000
216.64565	14472.00000
216.66966	13226.00000
216.67020	14694.00000
216.70491	17700.00000
216.70544	17553.00000
216.70598	15696.00000
216.85124	20381.00000
216.96770	9560.00000
216.96823	4286.00000
217.00082	7588.00000
217.33276	5252.00000
217.36324	9285.00000
217.39105	15633.00000
218.08308	5809.00000
219.28996	10111.00000
219.36624	7917.00000
219.87367	3881.00000
220.42908	6485.00000
220.53680	7401.00000
220.53734	16159.00000
220.53787	22507.00000
220.62192	11101.00000
220.96416	4360.00000
220.96469	4476.00000
220.99165	7534.00000
221.02779	4979.00000
221.23059	13388.00000
221.23112	17154.00000
221.34067	18450.00000
221.43404	13174.00000
221.47990	10200.00000
221.50475	13418.00000
221.54146	14917.00000
222.32930	11299.00000
222.71996	4152.00000
222.88454	11170.00000
222.88509	11679.00000
223.07303	10369.00000
223.09036	22856.00000
223.15266	13922.00000
223.16026	15112.00000
223.34615	2967.00000
223.38843	7712.00000
223.63028	8759.00000
223.63083	7102.00000
223.76320	16776.00000
223.76375	9620.00000
224.33435	8254.00000
224.33490	10243.00000
224.33545	13188.00000
224.33598	10161.00000
224.46367	15877.00000
225.89626	5838.00000
226.12527	17728.00000
226.17383	15884.00000
226.77318	6509.00000
226.96385	4075.00000
227.00374	10664.00000
227.29512	9989.00000
227.54564	6442.00000
227.56314	10936.00000
227.56369	8197.00000
227.56534	4183.00000
227.73773	7478.00000
228.01697	12784.00000
228.13092	4044.00000
228.13145	4672.00000
228.34682	6716.00000
228.58037	6356.00000
228.58476	4499.00000
228.63795	7472.00000
228.84477	9350.00000
228.87770	8544.00000
228.87825	9695.00000
228.87880	8046.00000
229.37073	6468.00000
229.79337	6713.00000
230.29895	8824.00000
230.56819	11962.00000
230.56931	10826.00000
230.56985	11261.00000
230.59077	7376.00000
231.16176	6159.00000
231.16231	9893.00000
231.17720	13762.00000
231.54353	21062.00000
231.61253	10065.00000
232.06375	17366.00000
232.06430	13733.00000
232.24170	5974.00000
232.35614	4692.00000
232.64429	11727.00000
232.64484	11655.00000
232.64540	14507.00000
232.64650	11136.00000
232.69852	12881.00000
232.72618	14960.00000
232.89940	9555.00000
233.10371	10648.00000
233.20949	4284.00000
233.48044	16220.00000
233.48099	18319.00000
233.66780	7591.00000
233.76984	12669.00000
234.06274	9304.00000
234.15044	12071.00000
234.15099	19150.00000
234.42581	10490.00000
235.24066	13475.00000
235.24123	12955.00000
235.25069	31431.00000
235.29129	9967.00000
235.29964	7169.00000
235.40648	9473.00000
235.57179	18701.00000
235.57236	30117.00000
235.64250	6515.00000
235.72437	5345.00000
235.99397	16845.00000
236.08035	10794.00000
236.63576	9152.00000
237.27226	18861.00000
237.40805	14082.00000
237.71722	3598.00000
237.79552	12520.00000
238.34062	6831.00000
238.34119	11733.00000
238.58203	12793.00000
238.58260	18350.00000
239.03998	4790.00000
239.04054	12744.00000
239.04111	12235.00000
239.40576	12083.00000
239.44730	3324.00000
239.44786	4252.00000
239.64153	4426.00000
239.66512	6653.00000
239.83922	6479.00000
239.86169	12701.00000
239.86226	11591.00000
239.91675	5317.00000
240.13365	8425.00000
240.30568	8885.00000
240.36247	11905.00000
240.36304	12464.00000
240.49858	12017.00000
240.49971	13729.00000
240.94261	18382.00000
241.58037	7050.00000
241.78563	7606.00000
241.78619	5010.00000
242.09706	9688.00000
242.09763	9003.00000
242.41321	12849.00000
242.43410	12276.00000
242.43466	23567.00000
242.55103	9821.00000
242.66853	10372.00000
242.66910	11926.00000
242.67023	7429.00000
242.68210	11475.00000
242.71826	4645.00000
242.76065	19309.00000
242.87764	5799.00000
243.22993	12612.00000
243.29897	5913.00000
243.29953	6348.00000
243.33743	20238.00000
243.33800	25488.00000
243.33856	15434.00000
243.33913	9782.00000
244.17839	10050.00000
244.26001	7376.00000
244.53163	12844.00000
244.67799	6567.00000
245.24228	5286.00000
245.69975	6367.00000
245.70090	16951.00000
245.73842	8153.00000
245.99094	5443.00000
245.99152	5531.00000
246.12350	5327.00000
246.52315	6007.00000
246.60971	4619.00000
246.61028	8490.00000
246.61086	16789.00000
247.83989	6227.00000
247.89642	13408.00000
248.40208	8217.00000
248.40266	17726.00000
249.71524	10467.00000
249.98586	24941.00000
250.20497	9981.00000
250.66820	15816.00000
251.79504	7334.00000
251.97580	10450.00000
251.97636	5538.00000
251.97694	8559.00000
251.97752	8677.00000
252.13704	14274.00000
252.13762	16313.00000
252.13934	10456.00000
252.60954	15892.00000
252.71793	5626.00000
252.71851	8402.00000
252.78482	4560.00000
252.93709	11002.00000
252.93767	15496.00000
252.97171	10084.00000
253.05882	7441.00000
253.10730	8727.00000
253.22850	7878.00000
253.29546	10492.00000
253.52527	9739.00000
253.97305	14177.00000
254.02277	6886.00000
254.43512	11806.00000
255.02676	9287.00000
255.02734	6437.00000
255.04008	5839.00000
255.07484	3021.00000
255.17508	5953.00000
255.90739	13214.00000
256.06409	14106.00000
256.32999	9592.00000
256.39679	8268.00000
256.61404	12392.00000
256.77094	8805.00000
256.89185	12455.00000
256.89243	8942.00000
256.89301	5998.00000
256.93719	21194.00000
257.02792	11006.00000
257.38159	9361.00000
257.41187	11165.00000
257.48926	8270.00000
257.49042	6770.00000
257.53989	12061.00000
257.61499	13985.00000
257.91666	10386.00000
257.99646	7245.00000
257.99704	8797.00000
257.99762	15891.00000
258.47617	11556.00000
258.56482	5963.00000
259.19568	5530.00000
259.35806	10725.00000
259.42233	10164.00000
259.42291	10278.00000
259.45035	9420.00000
259.57425	10610.00000
259.57483	6656.00000
259.57599	5236.00000
259.61105	7625.00000
259.61279	6049.00000
259.72797	9189.00000
259.76712	8391.00000
259.81973	12565.00000
259.82031	15486.00000
259.82559	11693.00000
259.84430	5333.00000
259.86301	14620.00000
260.13086	16425.00000
260.26251	14999.00000
260.26309	8533.00000
260.33273	4586.00000
260.33392	9283.00000
260.79410	5634.00000
260.79471	6791.00000
260.97983	7954.00000
261.20020	6817.00000
261.22189	18275.00000
261.49103	7568.00000
261.50278	6685.00000
261.56259	8447.00000
261.63361	9640.00000
261.63419	2997.00000
261.72101	11623.00000
262.02625	4071.00000
262.15427	3432.00000
264.45792	14638.00000
264.65378	4232.00000
264.65439	7409.00000
264.77713	9137.00000
264.91467	7934.00000
265.09003	8801.00000
265.09122	11912.00000
265.09180	5882.00000
265.32513	9159.00000
265.35468	16804.00000
265.39130	9314.00000
265.39191	12059.00000
265.75009	11597.00000
265.84708	13866.00000
266.31747	8047.00000
266.60699	11430.00000
266.60818	11597.00000
267.01935	11368.00000
267.02054	18517.00000
267.13022	5664.00000
267.13080	7913.00000
267.52222	9106.00000
267.52341	6578.00000
267.63080	6029.00000
268.06711	8243.00000
268.06830	15290.00000
268.07779	9617.00000
268.11996	15075.00000
268.17224	16936.00000
268.28094	10534.00000
268.64407	8432.00000
269.27402	5194.00000
269.27460	12406.00000
269.29367	23726.00000
269.37164	3400.00000
269.46927	10851.00000
269.51990	15326.00000
269.54132	19955.00000
269.58420	15060.00000
269.58481	11596.00000
269.65924	14876.00000
269.65985	10220.00000
269.66461	2560.00000
269.66519	4463.00000
269.81354	11718.00000
269.81473	12414.00000
269.84213	13426.00000
270.15564	7429.00000
270.37805	7179.00000
270.37924	9451.00000
270.37985	7517.00000
270.56476	8524.00000
270.66980	14904.00000
270.67038	26097.00000
270.67218	13575.00000
270.67337	19276.00000
270.83749	5331.00000
270.95572	8102.00000
271.15994	8032.00000
271.40308	5326.00000
271.46045	6535.00000
271.71930	11005.00000
271.76294	3352.00000
272.07275	12582.00000
272.07336	8843.00000
272.17090	6638.00000
272.42227	15410.00000
272.47617	6940.00000
272.53842	11385.00000
273.19153	13003.00000
273.78656	12747.00000
273.87781	4244.00000
273.87839	5488.00000
273.88861	11624.00000
273.88919	5862.00000
274.65631	4360.00000
274.78494	23633.00000
275.32938	5865.00000
275.49609	12778.00000
275.49670	9898.00000
275.51056	7929.00000
275.51175	5167.00000
275.78757	9888.00000
275.78937	57468.00000
275.78998	53757.00000
277.85089	10031.00000
278.06860	4905.00000
278.13028	5895.00000
278.16660	7484.00000
278.16718	8209.00000
278.18231	9317.00000
278.18353	10390.00000
278.18414	16109.00000
278.21921	6575.00000
278.34204	20151.00000
278.63440	7902.00000
278.79489	9223.00000
278.87241	10353.00000
278.89423	15853.00000
278.89481	6187.00000
279.01840	6487.00000
279.01901	14474.00000
279.08325	7554.00000
279.22687	20023.00000
279.22748	22675.00000
279.53424	11377.00000
279.57730	12107.00000
279.57852	12216.00000
279.63797	5877.00000
279.98502	12541.00000
280.31042	9148.00000
280.36325	12472.00000
280.52179	14830.00000
280.52301	12136.00000
280.94113	4608.00000
281.24945	12695.00000
281.25067	12844.00000
281.61880	15194.00000
281.61942	7065.00000
281.66019	10257.00000
281.79233	14071.00000
281.89401	9765.00000
281.91409	15880.00000
282.52222	3484.00000
282.58563	18296.00000
282.58685	26612.00000
282.64478	4616.00000
282.64539	5788.00000
282.64966	6843.00000
282.65027	6751.00000
282.65088	6792.00000
282.86252	5045.00000
282.86313	7403.00000
282.86679	8784.00000
283.40390	11024.00000
283.66833	41511.00000
283.66898	36570.00000
284.43555	7126.00000
284.50284	8142.00000
284.50345	11232.00000
